meetpunt;datum;naam;waarde
KRW_BA_01;2022-06-28;Alboglossiphonia heteroclita;1
KRW_BA_01;2022-06-28;Arrenurus crassicaudatus;29
KRW_BA_01;2022-06-28;Arrenurus globator;4
KRW_BA_01;2022-06-28;Arrenurus latus;69
KRW_BA_01;2022-06-28;Arrenurus sinuator;25
KRW_BA_01;2022-06-28;Asellus aquaticus;1
KRW_BA_01;2022-06-28;Bithynia tentaculata;18
KRW_BA_01;2022-06-28;Branchiodrilus hortensis;16
KRW_BA_01;2022-06-28;Caenis horaria;4
KRW_BA_01;2022-06-28;Caenis robusta;2
KRW_BA_01;2022-06-28;Cloeon dipterum;1
KRW_BA_01;2022-06-28;Dero digitata;1
KRW_BA_01;2022-06-28;Dero dorsalis;1
KRW_BA_01;2022-06-28;Dicrotendipes nervosus;2
KRW_BA_01;2022-06-28;Endochironomus tendens;1
KRW_BA_01;2022-06-28;Forelia liliacea;2
KRW_BA_01;2022-06-28;Gerris argentatus;2
KRW_BA_01;2022-06-28;Glyptotendipes paripes;18
KRW_BA_01;2022-06-28;Helobdella stagnalis;1
KRW_BA_01;2022-06-28;Hippeutis complanatus;9
KRW_BA_01;2022-06-28;Holocentropus picicornis;3
KRW_BA_01;2022-06-28;Hydrovatus cuspidatus;2
KRW_BA_01;2022-06-28;Hygrotus inaequalis;1
KRW_BA_01;2022-06-28;Hyphydrus ovatus;1
KRW_BA_01;2022-06-28;Ischnura elegans;8
KRW_BA_01;2022-06-28;Limnesia undulata;2
KRW_BA_01;2022-06-28;Limnodrilus claparedianus;1
KRW_BA_01;2022-06-28;Lumbriculus variegatus;1
KRW_BA_01;2022-06-28;Micronecta scholtzi;8
KRW_BA_01;2022-06-28;Musculium lacustre;4
KRW_BA_01;2022-06-28;Notonecta glauca;3
KRW_BA_01;2022-06-28;Oxus ovalis;2
KRW_BA_01;2022-06-28;Physella acuta;24
KRW_BA_01;2022-06-28;Piona imminuta;4
KRW_BA_01;2022-06-28;Piona variabilis;4
KRW_BA_01;2022-06-28;Pisidium milium;1
KRW_BA_01;2022-06-28;Polypedilum nubeculosum;4
KRW_BA_01;2022-06-28;Proasellus coxalis;11
KRW_BA_01;2022-06-28;Quistadrilus multisetosus;1
KRW_BA_01;2022-06-28;Ranatra linearis;1
KRW_BA_01;2022-06-28;Sialis lutaria;1
KRW_BA_01;2022-06-28;Sigara falleni;1
KRW_BA_01;2022-06-28;Sigara striata;3
KRW_BA_01;2022-06-28;Tanypus kraatzi;8
KRW_BA_01;2022-06-28;Tanytarsus usmaensis;1
KRW_BA_01;2022-06-28;Triaenodes bicolor;1
KRW_BA_01;2022-06-28;Unionicola crassipes;65
KRW_BA_01;2022-06-28;Unionicola minor;13
KRW_BA_01;2022-06-28;Valvata cristata;10
KRW_BA_02;2022-06-28;Ablabesmyia longistyla;48
KRW_BA_02;2022-06-28;Acroloxus lacustris;3
KRW_BA_02;2022-06-28;Alboglossiphonia heteroclita;7
KRW_BA_02;2022-06-28;Anisus vortex;11
KRW_BA_02;2022-06-28;Anisus vorticulus;32
KRW_BA_02;2022-06-28;Arrenurus globator;63
KRW_BA_02;2022-06-28;Arrenurus latus;273
KRW_BA_02;2022-06-28;Arrenurus sinuator;304
KRW_BA_02;2022-06-28;Bithynia tentaculata;37
KRW_BA_02;2022-06-28;Branchiodrilus hortensis;9
KRW_BA_02;2022-06-28;Caenis horaria;8
KRW_BA_02;2022-06-28;Caenis robusta;80
KRW_BA_02;2022-06-28;Cymatia coleoptrata;1
KRW_BA_02;2022-06-28;Dero digitata;1
KRW_BA_02;2022-06-28;Dero dorsalis;3
KRW_BA_02;2022-06-28;Endochironomus albipennis;32
KRW_BA_02;2022-06-28;Endochironomus tendens;5
KRW_BA_02;2022-06-28;Ferrissia californica;13
KRW_BA_02;2022-06-28;Forelia liliacea;10
KRW_BA_02;2022-06-28;Glyptotendipes signatus;5
KRW_BA_02;2022-06-28;Gyraulus albus;8
KRW_BA_02;2022-06-28;Haemonais waldvogeli;2
KRW_BA_02;2022-06-28;Helobdella stagnalis;1
KRW_BA_02;2022-06-28;Helophorus brevipalpis;1
KRW_BA_02;2022-06-28;Hippeutis complanatus;83
KRW_BA_02;2022-06-28;Holocentropus picicornis;7
KRW_BA_02;2022-06-28;Hydrovatus cuspidatus;1
KRW_BA_02;2022-06-28;Ilyocoris cimicoides;14
KRW_BA_02;2022-06-28;Ischnura elegans;7
KRW_BA_02;2022-06-28;Limnesia fulgida;10
KRW_BA_02;2022-06-28;Limnesia undulata;147
KRW_BA_02;2022-06-28;Lumbriculus variegatus;4
KRW_BA_02;2022-06-28;Micronecta scholtzi;4
KRW_BA_02;2022-06-28;Musculium lacustre;3
KRW_BA_02;2022-06-28;Mystacides longicornis;1
KRW_BA_02;2022-06-28;Noterus crassicornis;2
KRW_BA_02;2022-06-28;Parachironomus frequens;5
KRW_BA_02;2022-06-28;Parachironomus gracilior;5
KRW_BA_02;2022-06-28;Paramerina cingulata;11
KRW_BA_02;2022-06-28;Phaenopsectra flavipes;5
KRW_BA_02;2022-06-28;Physa fontinalis;5
KRW_BA_02;2022-06-28;Physella acuta;27
KRW_BA_02;2022-06-28;Pisidium milium;1
KRW_BA_02;2022-06-28;Pisidium nitidum;1
KRW_BA_02;2022-06-28;Pisidium pseudosphaerium;3
KRW_BA_02;2022-06-28;Planorbarius corneus;5
KRW_BA_02;2022-06-28;Polypedilum nubeculosum;37
KRW_BA_02;2022-06-28;Polypedilum sordens;133
KRW_BA_02;2022-06-28;Sialis lutaria;5
KRW_BA_02;2022-06-28;Triaenodes bicolor;6
KRW_BA_02;2022-06-28;Tricholeiochiton fagesii;2
KRW_BA_02;2022-06-28;Unionicola crassipes;200
KRW_BA_02;2022-06-28;Valvata cristata;48
KRW_BA_02;2022-06-28;Zavreliella marmorata;21
KRW_BA_03;2022-06-28;Argulus foliaceus;2
KRW_BA_03;2022-06-28;Arrenurus latus;1
KRW_BA_03;2022-06-28;Arrenurus sinuator;1
KRW_BA_03;2022-06-28;Caenis horaria;6
KRW_BA_03;2022-06-28;Chelicorophium curvispinum;11
KRW_BA_03;2022-06-28;Cybister lateralimarginalis;1
KRW_BA_03;2022-06-28;Dikerogammarus villosus;10
KRW_BA_03;2022-06-28;Echinogammarus ischnus;1
KRW_BA_03;2022-06-28;Echinogammarus trichiatus;1
KRW_BA_03;2022-06-28;Endochironomus albipennis;171
KRW_BA_03;2022-06-28;Endochironomus tendens;19
KRW_BA_03;2022-06-28;Glyptotendipes paripes;8
KRW_BA_03;2022-06-28;Helobdella stagnalis;1
KRW_BA_03;2022-06-28;Hypania invalida;1
KRW_BA_03;2022-06-28;Ilyocoris cimicoides;7
KRW_BA_03;2022-06-28;Ischnura elegans;9
KRW_BA_03;2022-06-28;Kiefferulus tendipediformis;8
KRW_BA_03;2022-06-28;Laccobius bipunctatus;1
KRW_BA_03;2022-06-28;Limnesia marmorata;3
KRW_BA_03;2022-06-28;Limnomysis benedeni;11
KRW_BA_03;2022-06-28;Micronecta scholtzi;60
KRW_BA_03;2022-06-28;Mystacides longicornis;3
KRW_BA_03;2022-06-28;Phaenopsectra flavipes;15
KRW_BA_03;2022-06-28;Physella acuta;8
KRW_BA_03;2022-06-28;Pisidium henslowanum;1
KRW_BA_03;2022-06-28;Pisidium subtruncatum;2
KRW_BA_03;2022-06-28;Pisidium supinum;3
KRW_BA_03;2022-06-28;Polypedilum nubeculosum;19
KRW_BA_03;2022-06-28;Polypedilum sordens;27
KRW_BA_03;2022-06-28;Proasellus coxalis;1
KRW_BA_03;2022-06-28;Sigara iactans;7
KRW_BA_03;2022-06-28;Sigara striata;17
KRW_BA_03;2022-06-28;Synendotendipes dispar;4
KRW_DHS_01;2022-06-28;Acroloxus lacustris;25
KRW_DHS_01;2022-06-28;Arrenurus sinuator;2
KRW_DHS_01;2022-06-28;Caenis robusta;1
KRW_DHS_01;2022-06-28;Chaoborus flavicans;1
KRW_DHS_01;2022-06-28;Cloeon dipterum;7
KRW_DHS_01;2022-06-28;Crangonyx pseudogracilis;144
KRW_DHS_01;2022-06-28;Cybister lateralimarginalis;1
KRW_DHS_01;2022-06-28;Ferrissia californica;19
KRW_DHS_01;2022-06-28;Gerris argentatus;2
KRW_DHS_01;2022-06-28;Gerris lacustris;1
KRW_DHS_01;2022-06-28;Ilyocoris cimicoides;1
KRW_DHS_01;2022-06-28;Ischnura elegans;1
KRW_DHS_01;2022-06-28;Limnodrilus hoffmeisteri;4
KRW_DHS_01;2022-06-28;Notonecta glauca;1
KRW_DHS_01;2022-06-28;Paratanytarsus tenellulus;3
KRW_DHS_01;2022-06-28;Phaenopsectra flavipes;1
KRW_DHS_01;2022-06-28;Physella acuta;95
KRW_DHS_01;2022-06-28;Piona imminuta;2
KRW_DHS_01;2022-06-28;Piona variabilis;2
KRW_DHS_01;2022-06-28;Polypedilum sordens;4
KRW_DHS_01;2022-06-28;Potamothrix hammoniensis;1
KRW_DHS_01;2022-06-28;Psectrotanypus varius;16
KRW_DHS_01;2022-06-28;Sialis lutaria;4
KRW_DHS_01;2022-06-28;Sigara falleni;4
KRW_DHS_01;2022-06-28;Sigara striata;46
KRW_DHS_01;2022-06-28;Tanypus kraatzi;38
KRW_DHS_01;2022-06-28;Unionicola crassipes;230
KRW_DHS_02;2022-06-28;Acroloxus lacustris;13
